"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"21446";"Moutiers-Saint-Jean";"COM"
"GEO";"Géographie";"21447";"Musigny";"COM"
"GEO";"Géographie";"21448";"Mussy-la-Fosse";"COM"
"GEO";"Géographie";"21449";"Nan-sous-Thil";"COM"
"GEO";"Géographie";"21458";"Noiron-sous-Gevrey";"COM"
"GEO";"Géographie";"21450";"Nantoux";"COM"
"GEO";"Géographie";"21459";"Noiron-sur-Bèze";"COM"
"GEO";"Géographie";"21451";"Nesle-et-Massoult";"COM"
"GEO";"Géographie";"21460";"Noiron-sur-Seine";"COM"
"GEO";"Géographie";"21452";"Neuilly-Crimolois";"COM"
"GEO";"Géographie";"21461";"Nolay";"COM"
"GEO";"Géographie";"21454";"Nicey";"COM"
"GEO";"Géographie";"21462";"Norges-la-Ville";"COM"
"GEO";"Géographie";"21455";"Nod-sur-Seine";"COM"
"GEO";"Géographie";"21463";"Normier";"COM"
"GEO";"Géographie";"21456";"Nogent-lès-Montbard";"COM"
"GEO";"Géographie";"21464";"Nuits-Saint-Georges";"COM"
"GEO";"Géographie";"21457";"Noidan";"COM"
"GEO";"Géographie";"21465";"Obtrée";"COM"
"GEO";"Géographie";"21466";"Oigny";"COM"
"GEO";"Géographie";"21467";"Oisilly";"COM"
"GEO";"Géographie";"21468";"Orain";"COM"
"GEO";"Géographie";"21469";"Orgeux";"COM"
"GEO";"Géographie";"21470";"Origny";"COM"
"GEO";"Géographie";"21471";"Orret";"COM"
"GEO";"Géographie";"21472";"Orville";"COM"
"GEO";"Géographie";"21473";"Ouges";"COM"
"GEO";"Géographie";"21474";"Pagny-la-Ville";"COM"
"GEO";"Géographie";"21475";"Pagny-le-Château";"COM"
"GEO";"Géographie";"21476";"Painblanc";"COM"
"GEO";"Géographie";"21477";"Panges";"COM"
"GEO";"Géographie";"21478";"Pasques";"COM"
"GEO";"Géographie";"21479";"Pellerey";"COM"
"GEO";"Géographie";"21480";"Pernand-Vergelesses";"COM"
"GEO";"Géographie";"21481";"Perrigny-lès-Dijon";"COM"
"GEO";"Géographie";"21482";"Perrigny-sur-l'Ognon";"COM"
"GEO";"Géographie";"21483";"Pichanges";"COM"
"GEO";"Géographie";"21484";"Planay";"COM"
"GEO";"Géographie";"21485";"Plombières-lès-Dijon";"COM"
"GEO";"Géographie";"21487";"Pluvet";"COM"
"GEO";"Géographie";"21488";"Poinçon-lès-Larrey";"COM"
"GEO";"Géographie";"21489";"Poiseul-la-Grange";"COM"
"GEO";"Géographie";"21490";"Poiseul-la-Ville-et-Laperrière";"COM"
"GEO";"Géographie";"21491";"Poiseul-lès-Saulx";"COM"
"GEO";"Géographie";"21492";"Pommard";"COM"
"GEO";"Géographie";"21493";"Poncey-lès-Athée";"COM"
"GEO";"Géographie";"21494";"Poncey-sur-l'Ignon";"COM"
"GEO";"Géographie";"21495";"Pont";"COM"
"GEO";"Géographie";"21496";"Pontailler-sur-Saône";"COM"
"GEO";"Géographie";"21497";"Pont-et-Massène";"COM"
"GEO";"Géographie";"21498";"Posanges";"COM"
"GEO";"Géographie";"21499";"Pothières";"COM"
"GEO";"Géographie";"21500";"Pouillenay";"COM"
"GEO";"Géographie";"21501";"Pouilly-en-Auxois";"COM"
"GEO";"Géographie";"21502";"Pouilly-sur-Saône";"COM"
"GEO";"Géographie";"21503";"Pouilly-sur-Vingeanne";"COM"
"GEO";"Géographie";"21504";"Prâlon";"COM"
"GEO";"Géographie";"21505";"Précy-sous-Thil";"COM"
"GEO";"Géographie";"21506";"Premeaux-Prissey";"COM"
"GEO";"Géographie";"21508";"Prenois";"COM"
"GEO";"Géographie";"21510";"Prusly-sur-Ource";"COM"
"GEO";"Géographie";"21511";"Puits";"COM"
"GEO";"Géographie";"21512";"Puligny-Montrachet";"COM"
"GEO";"Géographie";"21514";"Quemigny-sur-Seine";"COM"
"GEO";"Géographie";"21515";"Quetigny";"COM"
"GEO";"Géographie";"21516";"Quincerot";"COM"
"GEO";"Géographie";"21517";"Quincey";"COM"
"GEO";"Géographie";"21518";"Quincy-le-Vicomte";"COM"
"GEO";"Géographie";"21519";"Recey-sur-Ource";"COM"
"GEO";"Géographie";"21520";"Remilly-en-Montagne";"COM"
"GEO";"Géographie";"21521";"Remilly-sur-Tille";"COM"
"GEO";"Géographie";"21522";"Renève";"COM"
"GEO";"Géographie";"21523";"Reulle-Vergy";"COM"
"GEO";"Géographie";"21524";"Riel-les-Eaux";"COM"
"GEO";"Géographie";"21525";"La Roche-en-Brenil";"COM"
"GEO";"Géographie";"21526";"Rochefort-sur-Brévon";"COM"
"GEO";"Géographie";"21527";"La Rochepot";"COM"
"GEO";"Géographie";"21528";"La Roche-Vanneau";"COM"
"GEO";"Géographie";"21529";"Roilly";"COM"
"GEO";"Géographie";"21530";"Rougemont";"COM"
"GEO";"Géographie";"21531";"Rouvray";"COM"
"GEO";"Géographie";"21532";"Rouvres-en-Plaine";"COM"
"GEO";"Géographie";"21533";"Rouvres-sous-Meilly";"COM"
"GEO";"Géographie";"21534";"Ruffey-lès-Beaune";"COM"
"GEO";"Géographie";"21535";"Ruffey-lès-Echirey";"COM"
"GEO";"Géographie";"21536";"Sacquenay";"COM"
"GEO";"Géographie";"21537";"Saffres";"COM"
"GEO";"Géographie";"21538";"Saint-Andeux";"COM"
"GEO";"Géographie";"21539";"Saint-Anthot";"COM"
"GEO";"Géographie";"21540";"Saint-Apollinaire";"COM"
"GEO";"Géographie";"21541";"Saint-Aubin";"COM"
"GEO";"Géographie";"21542";"Saint-Bernard";"COM"
"GEO";"Géographie";"21543";"Saint-Broing-les-Moines";"COM"
"GEO";"Géographie";"21544";"Sainte-Colombe-en-Auxois";"COM"
"GEO";"Géographie";"21545";"Sainte-Colombe-sur-Seine";"COM"
"GEO";"Géographie";"21546";"Saint-Didier";"COM"
"GEO";"Géographie";"21547";"Saint-Euphrône";"COM"
"GEO";"Géographie";"21548";"Saint-Germain-de-Modéon";"COM"
"GEO";"Géographie";"21549";"Saint-Germain-le-Rocheux";"COM"
"GEO";"Géographie";"21550";"Saint-Germain-lès-Senailly";"COM"
"GEO";"Géographie";"21552";"Saint-Hélier";"COM"
"GEO";"Géographie";"21553";"Saint-Jean-de-Bœuf";"COM"
"GEO";"Géographie";"21554";"Saint-Jean-de-Losne";"COM"
"GEO";"Géographie";"21555";"Saint-Julien";"COM"
"GEO";"Géographie";"21556";"Saint-Léger-Triey";"COM"
"GEO";"Géographie";"21557";"Saint-Marc-sur-Seine";"COM"
"GEO";"Géographie";"21558";"Sainte-Marie-la-Blanche";"COM"
"GEO";"Géographie";"21559";"Sainte-Marie-sur-Ouche";"COM"
"GEO";"Géographie";"21560";"Saint-Martin-de-la-Mer";"COM"
"GEO";"Géographie";"21561";"Saint-Martin-du-Mont";"COM"
"GEO";"Géographie";"21562";"Saint-Maurice-sur-Vingeanne";"COM"
"GEO";"Géographie";"21563";"Saint-Mesmin";"COM"
"GEO";"Géographie";"21564";"Saint-Nicolas-lès-Cîteaux";"COM"
"GEO";"Géographie";"21565";"Saint-Philibert";"COM"
"GEO";"Géographie";"21566";"Saint-Pierre-en-Vaux";"COM"
"GEO";"Géographie";"21567";"Saint-Prix-lès-Arnay";"COM"
"GEO";"Géographie";"21568";"Saint-Rémy";"COM"
"GEO";"Géographie";"21569";"Saint-Romain";"COM"
"GEO";"Géographie";"21570";"Sainte-Sabine";"COM"
"GEO";"Géographie";"21571";"Saint-Sauveur";"COM"
"GEO";"Géographie";"21572";"Saint-Seine-en-Bâche";"COM"
"GEO";"Géographie";"21573";"Saint-Seine-l'Abbaye";"COM"
"GEO";"Géographie";"21574";"Saint-Seine-sur-Vingeanne";"COM"
"GEO";"Géographie";"21575";"Saint-Symphorien-sur-Saône";"COM"
"GEO";"Géographie";"21576";"Saint-Thibault";"COM"
"GEO";"Géographie";"21577";"Saint-Usage";"COM"
"GEO";"Géographie";"21578";"Saint-Victor-sur-Ouche";"COM"
"GEO";"Géographie";"21579";"Salives";"COM"
"GEO";"Géographie";"21580";"Salmaise";"COM"
"GEO";"Géographie";"21581";"Samerey";"COM"
"GEO";"Géographie";"21582";"Santenay";"COM"
"GEO";"Géographie";"21583";"Santosse";"COM"
"GEO";"Géographie";"21584";"Saulieu";"COM"
"GEO";"Géographie";"21585";"Saulon-la-Chapelle";"COM"
"GEO";"Géographie";"21586";"Saulon-la-Rue";"COM"
"GEO";"Géographie";"21587";"Saulx-le-Duc";"COM"
"GEO";"Géographie";"21588";"Saussey";"COM"
"GEO";"Géographie";"21589";"Saussy";"COM"
"GEO";"Géographie";"21590";"Savigny-lès-Beaune";"COM"
"GEO";"Géographie";"21591";"Savigny-le-Sec";"COM"
"GEO";"Géographie";"21592";"Savigny-sous-Mâlain";"COM"
"GEO";"Géographie";"21593";"Savilly";"COM"
"GEO";"Géographie";"21594";"Savoisy";"COM"
"GEO";"Géographie";"21595";"Savolles";"COM"
"GEO";"Géographie";"21596";"Savouges";"COM"
"GEO";"Géographie";"21597";"Segrois";"COM"
"GEO";"Géographie";"21598";"Seigny";"COM"
"GEO";"Géographie";"21599";"Selongey";"COM"
"GEO";"Géographie";"21600";"Semarey";"COM"
"GEO";"Géographie";"21601";"Semezanges";"COM"
"GEO";"Géographie";"21602";"Semond";"COM"
"GEO";"Géographie";"21603";"Semur-en-Auxois";"COM"
"GEO";"Géographie";"21604";"Senailly";"COM"
"GEO";"Géographie";"21605";"Sennecey-lès-Dijon";"COM"
"GEO";"Géographie";"21606";"Ladoix-Serrigny";"COM"
"GEO";"Géographie";"21607";"Seurre";"COM"
"GEO";"Géographie";"21608";"Sincey-lès-Rouvray";"COM"
"GEO";"Géographie";"21609";"Soirans";"COM"
"GEO";"Géographie";"21610";"Soissons-sur-Nacey";"COM"
"GEO";"Géographie";"21611";"Sombernon";"COM"
"GEO";"Géographie";"21612";"Souhey";"COM"
"GEO";"Géographie";"21613";"Soussey-sur-Brionne";"COM"
"GEO";"Géographie";"21614";"Spoy";"COM"
"GEO";"Géographie";"21615";"Sussey";"COM"
"GEO";"Géographie";"21616";"Tailly";"COM"
"GEO";"Géographie";"21617";"Talant";"COM"
"GEO";"Géographie";"21618";"Talmay";"COM"
"GEO";"Géographie";"21619";"Tanay";"COM"
"GEO";"Géographie";"21620";"Tarsul";"COM"
"GEO";"Géographie";"21622";"Tart-le-Bas";"COM"
"GEO";"Géographie";"21623";"Tart";"COM"
"GEO";"Géographie";"21624";"Tellecey";"COM"
"GEO";"Géographie";"21625";"Ternant";"COM"
"GEO";"Géographie";"21626";"Terrefondrée";"COM"
"GEO";"Géographie";"21627";"Thenissey";"COM"
"GEO";"Géographie";"21628";"Thoires";"COM"
"GEO";"Géographie";"21629";"Thoisy-la-Berchère";"COM"
"GEO";"Géographie";"21630";"Thoisy-le-Désert";"COM"
"GEO";"Géographie";"21631";"Thomirey";"COM"
"GEO";"Géographie";"21632";"Thorey-en-Plaine";"COM"
"GEO";"Géographie";"21633";"Thorey-sous-Charny";"COM"
"GEO";"Géographie";"21634";"Thorey-sur-Ouche";"COM"
"GEO";"Géographie";"21635";"Thoste";"COM"
"GEO";"Géographie";"21636";"Thury";"COM"
"GEO";"Géographie";"21637";"Tichey";"COM"
"GEO";"Géographie";"21638";"Til-Châtel";"COM"
"GEO";"Géographie";"21639";"Tillenay";"COM"
"GEO";"Géographie";"21640";"Torcy-et-Pouligny";"COM"
"GEO";"Géographie";"21641";"Touillon";"COM"
"GEO";"Géographie";"21642";"Toutry";"COM"
"GEO";"Géographie";"21643";"Tréclun";"COM"
"GEO";"Géographie";"21644";"Trochères";"COM"
"GEO";"Géographie";"21645";"Trouhans";"COM"
"GEO";"Géographie";"21646";"Trouhaut";"COM"
"GEO";"Géographie";"21647";"Trugny";"COM"
"GEO";"Géographie";"21648";"Turcey";"COM"
"GEO";"Géographie";"21649";"Uncey-le-Franc";"COM"
"GEO";"Géographie";"21650";"Urcy";"COM"
"GEO";"Géographie";"21651";"Val-Suzon";"COM"
"GEO";"Géographie";"21652";"Vandenesse-en-Auxois";"COM"
"GEO";"Géographie";"21653";"Vannaire";"COM"
"GEO";"Géographie";"21655";"Vanvey";"COM"
"GEO";"Géographie";"21656";"Varanges";"COM"
"GEO";"Géographie";"21657";"Varois-et-Chaignot";"COM"
"GEO";"Géographie";"21659";"Vaux-Saules";"COM"
"GEO";"Géographie";"21660";"Veilly";"COM"
"GEO";"Géographie";"21661";"Velars-sur-Ouche";"COM"
"GEO";"Géographie";"21662";"Velogny";"COM"
"GEO";"Géographie";"21663";"Venarey-les-Laumes";"COM"
"GEO";"Géographie";"21664";"Verdonnet";"COM"
"GEO";"Géographie";"21665";"Vernois-lès-Vesvres";"COM"
"GEO";"Géographie";"21666";"Vernot";"COM"
"GEO";"Géographie";"21667";"Véronnes";"COM"
"GEO";"Géographie";"21669";"Verrey-sous-Drée";"COM"
"GEO";"Géographie";"21670";"Verrey-sous-Salmaise";"COM"
"GEO";"Géographie";"21671";"Vertault";"COM"
"GEO";"Géographie";"21672";"Vesvres";"COM"
"GEO";"Géographie";"21673";"Veuvey-sur-Ouche";"COM"
"GEO";"Géographie";"21674";"Veuxhaulles-sur-Aube";"COM"
"GEO";"Géographie";"21689";"Villars-et-Villenotte";"COM"
"GEO";"Géographie";"21690";"Villeberny";"COM"
"GEO";"Géographie";"21675";"Vianges";"COM"
"GEO";"Géographie";"21691";"Villebichot";"COM"
"GEO";"Géographie";"21676";"Vic-de-Chassenay";"COM"
"GEO";"Géographie";"21692";"Villecomte";"COM"
"GEO";"Géographie";"21677";"Vic-des-Prés";"COM"
"GEO";"Géographie";"21693";"Villedieu";"COM"
"GEO";"Géographie";"21709";"Viserny";"COM"
"GEO";"Géographie";"21678";"Vic-sous-Thil";"COM"
"GEO";"Géographie";"21694";"Villeferry";"COM"
"GEO";"Géographie";"21710";"Vitteaux";"COM"
"GEO";"Géographie";"21679";"Vieilmoulin";"COM"
"GEO";"Géographie";"21695";"La Villeneuve-les-Convers";"COM"
"GEO";"Géographie";"21711";"Vix";"COM"
"GEO";"Géographie";"21680";"Vielverge";"COM"
"GEO";"Géographie";"21696";"Villeneuve-sous-Charigny";"COM"
"GEO";"Géographie";"21712";"Volnay";"COM"
"GEO";"Géographie";"21681";"Vieux-Château";"COM"
"GEO";"Géographie";"21698";"Villers-la-Faye";"COM"
"GEO";"Géographie";"21713";"Vonges";"COM"
"GEO";"Géographie";"21699";"Villers-les-Pots";"COM"
"GEO";"Géographie";"21714";"Vosne-Romanée";"COM"
"GEO";"Géographie";"21682";"Viévigne";"COM"
"GEO";"Géographie";"21700";"Villers-Patras";"COM"
"GEO";"Géographie";"21715";"Voudenay";"COM"
"GEO";"Géographie";"21683";"Viévy";"COM"
"GEO";"Géographie";"21701";"Villers-Rotin";"COM"
"GEO";"Géographie";"21716";"Vougeot";"COM"
"GEO";"Géographie";"21684";"Vignoles";"COM"
"GEO";"Géographie";"21702";"Villey-sur-Tille";"COM"
"GEO";"Géographie";"21717";"Voulaines-les-Templiers";"COM"
"GEO";"Géographie";"21703";"Villiers-en-Morvan";"COM"
"GEO";"Géographie";"21685";"Villaines-en-Duesmois";"COM"
"GEO";"Géographie";"22001";"Allineuc";"COM"
"GEO";"Géographie";"21704";"Villiers-le-Duc";"COM"
"GEO";"Géographie";"22002";"Andel";"COM"
"GEO";"Géographie";"21686";"Villaines-les-Prévôtes";"COM"
"GEO";"Géographie";"21705";"Villotte-Saint-Seine";"COM"
"GEO";"Géographie";"22003";"Aucaleuc";"COM"
"GEO";"Géographie";"21687";"Villargoix";"COM"
"GEO";"Géographie";"21706";"Villotte-sur-Ource";"COM"
"GEO";"Géographie";"22004";"Bégard";"COM"
"GEO";"Géographie";"21688";"Villars-Fontaine";"COM"
"GEO";"Géographie";"21707";"Villy-en-Auxois";"COM"
"GEO";"Géographie";"22005";"Belle-Isle-en-Terre";"COM"
"GEO";"Géographie";"21708";"Villy-le-Moutier";"COM"
"GEO";"Géographie";"22006";"Berhet";"COM"
"GEO";"Géographie";"22008";"Bobital";"COM"
"GEO";"Géographie";"22009";"Le Bodéo";"COM"
"GEO";"Géographie";"22011";"Boqueho";"COM"
"GEO";"Géographie";"22012";"La Bouillie";"COM"
"GEO";"Géographie";"22013";"Bourbriac";"COM"
"GEO";"Géographie";"22014";"Bourseul";"COM"
"GEO";"Géographie";"22015";"Bréhand";"COM"
"GEO";"Géographie";"22016";"Île-de-Bréhat";"COM"
"GEO";"Géographie";"22018";"Brélidy";"COM"
"GEO";"Géographie";"22019";"Bringolo";"COM"
"GEO";"Géographie";"22020";"Broons";"COM"
"GEO";"Géographie";"22021";"Brusvily";"COM"
"GEO";"Géographie";"22023";"Bulat-Pestivien";"COM"
"GEO";"Géographie";"22024";"Calanhel";"COM"
"GEO";"Géographie";"22025";"Callac";"COM"
"GEO";"Géographie";"22026";"Calorguen";"COM"
"GEO";"Géographie";"22028";"Camlez";"COM"
"GEO";"Géographie";"22029";"Canihuel";"COM"
"GEO";"Géographie";"22030";"Caouënnec-Lanvézéac";"COM"
"GEO";"Géographie";"22031";"Carnoët";"COM"
"GEO";"Géographie";"22032";"Caulnes";"COM"
"GEO";"Géographie";"22033";"Caurel";"COM"
"GEO";"Géographie";"22034";"Cavan";"COM"
"GEO";"Géographie";"22035";"Les Champs-Géraux";"COM"
"GEO";"Géographie";"22036";"La Chapelle-Blanche";"COM"
"GEO";"Géographie";"22037";"La Chapelle-Neuve";"COM"
"GEO";"Géographie";"22039";"La Chèze";"COM"
"GEO";"Géographie";"22040";"Coadout";"COM"
"GEO";"Géographie";"22055";"Binic-Étables-sur-Mer";"COM"
"GEO";"Géographie";"22041";"Coatascorn";"COM"
"GEO";"Géographie";"22056";"Évran";"COM"
"GEO";"Géographie";"22042";"Coatréven";"COM"
"GEO";"Géographie";"22057";"Le Faouët";"COM"
"GEO";"Géographie";"22044";"Coëtmieux";"COM"
"GEO";"Géographie";"22059";"Le Fœil";"COM"
"GEO";"Géographie";"22045";"Cohiniac";"COM"
"GEO";"Géographie";"22076";"Hénanbihen";"COM"
"GEO";"Géographie";"22046";"Le Mené";"COM"
"GEO";"Géographie";"22060";"Gausson";"COM"
"GEO";"Géographie";"22077";"Hénansal";"COM"
"GEO";"Géographie";"22079";"Hénon";"COM"
"GEO";"Géographie";"22047";"Corlay";"COM"
"GEO";"Géographie";"22061";"Glomel";"COM"
"GEO";"Géographie";"22081";"Hillion";"COM"
"GEO";"Géographie";"22048";"Corseul";"COM"
"GEO";"Géographie";"22062";"Gomené";"COM"
"GEO";"Géographie";"22097";"La Landec";"COM"
"GEO";"Géographie";"22082";"Le Hinglé";"COM"
"GEO";"Géographie";"22049";"Créhen";"COM"
"GEO";"Géographie";"22063";"Gommenec'h";"COM"
"GEO";"Géographie";"22098";"Landéhen";"COM"
"GEO";"Géographie";"22083";"Illifaut";"COM"
"GEO";"Géographie";"22064";"Gouarec";"COM"
"GEO";"Géographie";"22050";"Dinan";"COM"
"GEO";"Géographie";"22099";"Lanfains";"COM"
"GEO";"Géographie";"22084";"Jugon-les-Lacs";"COM"
"GEO";"Géographie";"22065";"Goudelin";"COM"
"GEO";"Géographie";"22085";"Kerbors";"COM"
"GEO";"Géographie";"22101";"Langoat";"COM"
"GEO";"Géographie";"22052";"Duault";"COM"
"GEO";"Géographie";"22118";"Lanvallay";"COM"
"GEO";"Géographie";"22067";"Grâces";"COM"
"GEO";"Géographie";"22086";"Kerfot";"COM"
"GEO";"Géographie";"22119";"Lanvellec";"COM"
"GEO";"Géographie";"22103";"Langrolay-sur-Rance";"COM"
"GEO";"Géographie";"22053";"Éréac";"COM"
"GEO";"Géographie";"22068";"Grâce-Uzel";"COM"
"GEO";"Géographie";"22087";"Kergrist-Moëlou";"COM"
"GEO";"Géographie";"22121";"Lanvollon";"COM"
"GEO";"Géographie";"22104";"Languédias";"COM"
"GEO";"Géographie";"22088";"Kerien";"COM"
"GEO";"Géographie";"22054";"Erquy";"COM"
"GEO";"Géographie";"22122";"Laurenan";"COM"
"GEO";"Géographie";"22069";"Guenroc";"COM"
"GEO";"Géographie";"22105";"Languenan";"COM"
"GEO";"Géographie";"22090";"Kermaria-Sulard";"COM"
"GEO";"Géographie";"22140";"La Malhoure";"COM"
"GEO";"Géographie";"22124";"Lescouët-Gouarec";"COM"
"GEO";"Géographie";"22141";"Mantallot";"COM"
"GEO";"Géographie";"22070";"Guingamp";"COM"
"GEO";"Géographie";"22106";"Langueux";"COM"
"GEO";"Géographie";"22091";"Kermoroc'h";"COM"
"GEO";"Géographie";"22126";"Le Leslay";"COM"
"GEO";"Géographie";"22143";"Matignon";"COM"
"GEO";"Géographie";"22071";"Guitté";"COM"
"GEO";"Géographie";"22107";"Bon Repos sur Blavet";"COM"
"GEO";"Géographie";"22092";"Kerpert";"COM"
"GEO";"Géographie";"22127";"Lézardrieux";"COM"
"GEO";"Géographie";"22144";"La Méaugon";"COM"
"GEO";"Géographie";"22072";"Gurunhuel";"COM"
"GEO";"Géographie";"22108";"Lanleff";"COM"
"GEO";"Géographie";"22093";"Lamballe-Armor";"COM"
"GEO";"Géographie";"22128";"Locarn";"COM"
"GEO";"Géographie";"22163";"Paule";"COM"
"GEO";"Géographie";"22073";"La Harmoye";"COM"
"GEO";"Géographie";"22109";"Lanloup";"COM"
"GEO";"Géographie";"22094";"Lancieux";"COM"
"GEO";"Géographie";"22145";"Mégrit";"COM"
"GEO";"Géographie";"22129";"Loc-Envel";"COM"
"GEO";"Géographie";"22164";"Pédernec";"COM"
"GEO";"Géographie";"22110";"Lanmérin";"COM"
"GEO";"Géographie";"22074";"Le Haut-Corlay";"COM"
"GEO";"Géographie";"22095";"Landebaëron";"COM"
"GEO";"Géographie";"22131";"Loguivy-Plougras";"COM"
"GEO";"Géographie";"22165";"Penguily";"COM"
"GEO";"Géographie";"22075";"Hémonstoir";"COM"
"GEO";"Géographie";"22111";"Lanmodez";"COM"
"GEO";"Géographie";"22096";"Landébia";"COM"
"GEO";"Géographie";"22146";"Mellionnec";"COM"
"GEO";"Géographie";"22132";"Lohuec";"COM"
"GEO";"Géographie";"22166";"Penvénan";"COM"
"GEO";"Géographie";"22183";"Plémet";"COM"
"GEO";"Géographie";"22112";"Lannebert";"COM"
"GEO";"Géographie";"22133";"Loscouët-sur-Meu";"COM"
"GEO";"Géographie";"22184";"Plémy";"COM"
"GEO";"Géographie";"22168";"Perros-Guirec";"COM"
"GEO";"Géographie";"22147";"Merdrignac";"COM"
"GEO";"Géographie";"22113";"Lannion";"COM"
"GEO";"Géographie";"22134";"Louannec";"COM"
"GEO";"Géographie";"22185";"Plénée-Jugon";"COM"
"GEO";"Géographie";"22169";"Peumerit-Quintin";"COM"
"GEO";"Géographie";"22135";"Louargat";"COM"
"GEO";"Géographie";"22114";"Lanrelas";"COM"
"GEO";"Géographie";"22186";"Pléneuf-Val-André";"COM"
"GEO";"Géographie";"22170";"Plaine-Haute";"COM"
"GEO";"Géographie";"22148";"Mérillac";"COM"
"GEO";"Géographie";"22136";"Loudéac";"COM"
"GEO";"Géographie";"22187";"Plérin";"COM"
"GEO";"Géographie";"22115";"Lanrivain";"COM"
"GEO";"Géographie";"22171";"Plaintel";"COM"
"GEO";"Géographie";"22137";"Maël-Carhaix";"COM"
"GEO";"Géographie";"22188";"Plerneuf";"COM"
"GEO";"Géographie";"22116";"Lanrodec";"COM"
"GEO";"Géographie";"22149";"Merléac";"COM"
"GEO";"Géographie";"22172";"Plancoët";"COM"
"GEO";"Géographie";"22205";"Plorec-sur-Arguenon";"COM"
"GEO";"Géographie";"22138";"Maël-Pestivien";"COM"
"GEO";"Géographie";"22189";"Plésidy";"COM"
"GEO";"Géographie";"22174";"Pléboulle";"COM"
"GEO";"Géographie";"22117";"Lantic";"COM"
"GEO";"Géographie";"22206";"Châtelaudren-Plouagat";"COM"
"GEO";"Géographie";"22139";"Magoar";"COM"
"GEO";"Géographie";"22190";"Pleslin-Trigavou";"COM"
"GEO";"Géographie";"22150";"Le Merzer";"COM"
"GEO";"Géographie";"22175";"Plédéliac";"COM"
"GEO";"Géographie";"22207";"Plouaret";"COM"
"GEO";"Géographie";"22193";"Plestan";"COM"
"GEO";"Géographie";"22152";"Minihy-Tréguier";"COM"
"GEO";"Géographie";"22176";"Plédran";"COM"
"GEO";"Géographie";"22194";"Plestin-les-Grèves";"COM"
"GEO";"Géographie";"22208";"Plouasne";"COM"
"GEO";"Géographie";"22153";"Moncontour";"COM"
"GEO";"Géographie";"22177";"Pléguien";"COM"
"GEO";"Géographie";"22195";"Pleubian";"COM"
"GEO";"Géographie";"22209";"Beaussais-sur-Mer";"COM"
"GEO";"Géographie";"22155";"La Motte";"COM"
"GEO";"Géographie";"22223";"Plouisy";"COM"
"GEO";"Géographie";"22178";"Pléhédel";"COM"
"GEO";"Géographie";"22196";"Pleudaniel";"COM"
"GEO";"Géographie";"22224";"Ploulec'h";"COM"
"GEO";"Géographie";"22210";"Ploubazlanec";"COM"
"GEO";"Géographie";"22156";"Moustéru";"COM"
"GEO";"Géographie";"22179";"Fréhel";"COM"
"GEO";"Géographie";"22197";"Pleudihen-sur-Rance";"COM"
"GEO";"Géographie";"22211";"Ploubezre";"COM"
"GEO";"Géographie";"22157";"Le Moustoir";"COM"
"GEO";"Géographie";"22180";"Plélan-le-Petit";"COM"
"GEO";"Géographie";"22225";"Ploumagoar";"COM"
"GEO";"Géographie";"22198";"Pleumeur-Bodou";"COM"
"GEO";"Géographie";"22158";"Guerlédan";"COM"
"GEO";"Géographie";"22181";"Plélauff";"COM"
"GEO";"Géographie";"22212";"Plouëc-du-Trieux";"COM"
"GEO";"Géographie";"22199";"Pleumeur-Gautier";"COM"
"GEO";"Géographie";"22160";"Noyal";"COM"
"GEO";"Géographie";"22226";"Ploumilliau";"COM"
"GEO";"Géographie";"22182";"Plélo";"COM"
"GEO";"Géographie";"22213";"Plouër-sur-Rance";"COM"
"GEO";"Géographie";"22201";"Plévenon";"COM"
"GEO";"Géographie";"22161";"Pabu";"COM"
"GEO";"Géographie";"22202";"Plévin";"COM"
"GEO";"Géographie";"22214";"Plouézec";"COM"
"GEO";"Géographie";"22227";"Plounérin";"COM"
"GEO";"Géographie";"22162";"Paimpol";"COM"
"GEO";"Géographie";"22203";"Plœuc-L'Hermitage";"COM"
"GEO";"Géographie";"22215";"Ploufragan";"COM"
"GEO";"Géographie";"22228";"Plounévez-Moëdec";"COM"
"GEO";"Géographie";"22204";"Ploëzal";"COM"
"GEO";"Géographie";"22216";"Plougonver";"COM"
"GEO";"Géographie";"22229";"Plounévez-Quintin";"COM"
"GEO";"Géographie";"22217";"Plougras";"COM"
"GEO";"Géographie";"22231";"Plourac'h";"COM"
"GEO";"Géographie";"22218";"Plougrescant";"COM"
"GEO";"Géographie";"22232";"Plourhan";"COM"
"GEO";"Géographie";"22219";"Plouguenast-Langast";"COM"
"GEO";"Géographie";"22233";"Plourivo";"COM"
"GEO";"Géographie";"22220";"Plouguernével";"COM"
"GEO";"Géographie";"22234";"Plouvara";"COM"
"GEO";"Géographie";"22221";"Plouguiel";"COM"
"GEO";"Géographie";"22235";"Plouzélambre";"COM"
"GEO";"Géographie";"22243";"Plusquellec";"COM"
"GEO";"Géographie";"22222";"Plouha";"COM"
"GEO";"Géographie";"22236";"Pludual";"COM"
"GEO";"Géographie";"22244";"Plussulien";"COM"
"GEO";"Géographie";"22237";"Val-d'Arguenon";"COM"
"GEO";"Géographie";"22245";"Pluzunet";"COM"
"GEO";"Géographie";"22238";"Plufur";"COM"
"GEO";"Géographie";"22246";"Pommeret";"COM"
"GEO";"Géographie";"22239";"Plumaudan";"COM"
